id,origin,title,author,description
1888,Canadian,Flush of Victory,Ray Smith,Author Ray Smith has correlated the recent electronic version of the Confession with the Dubai Typescript and the even earlier Hong Kong Holograph. In a feat ...
1889,Canadian,Flying Changes,Sara Gruen,"There is a time to move on, a time to let go . . . and a time to fly.Anxiety rules Annemarie Zimmer's daysóthe fear that her relationship with the man she ..."
1890,Canadian,Flying Time,Suzanne North,"Winner of the 2015 Saskatchewan Book Awards University of Regina Book of the Year Award ;In 1939, Kay Jeynes, a lively, ambitious young working-class woman, ..."
1891,Canadian,Flying With Amelia,Anne Degrace,Flying with Amelia chronicles the dreams and struggles of a cast of unforgettable characters through more than a hundred years and across a vast landscape as ...
1892,Canadian,Flying with Amelia,Anne Degrace,Flying with Amelia chronicles the dreams and struggles of a cast of unforgettable characters through more than a hundred years and across a vast landscape as ...
1893,Canadian,Flyways,Devin Krukoff,"Through a protracted series of vignettes, Krukoff transforms Flyways into an interconnected, psychologically intense novel. Exploring the concept of Six ..."
1894,Canadian,Foe,Iain Reid,"A taut, psychological mind-bender from the bestselling author of I'm Thinking of Ending Things.We don't get visitors. Not out here. We never have.Junior ..."
1895,Canadian,Fog Over Fundy,Louis Arthur Cunningham,A story of mystery and murder on the TantramarFog Over Fundy traces the adventures of a young non-conformist French Canadian woman who returns from Europe to ...
1896,Canadian,Follow Me Down,Marc Strange,"A man, hanging from a tree at the edge of the forest that surrounds Dockerty, Newry County, has been shot with arrows, two of which pin his belly to the tree ..."
1897,Canadian,Fontainebleau,Madeline Sonik,"The city of Fontainebleau, situated on the banks of the Detroit River, is undergoing growing pains and strange things are happening.andnbsp There's something ..."
1898,Canadian,Food Fight,Deborah Sherman,Lumpy mashed potatoes oozing down the wall; green beans soaring through the air; stodgy meatloaf guiltily smeared across the cafeteria floor. Who threw the ...
1899,Canadian,Food for the Gods,Karen Dudley,"Pelops' troubles began when his father chopped him into stewing meat and served him to the gods for tea. Although he's been remade, and gifted with a ..."
1900,Canadian,Fool's Bluff,Lee Gregg,"An annual tradition. A few fun-filled days of adventure. A peaceful, pristine mountain covered with fresh snow. A mysterious disappearance. An untimely death. ..."
1901,Canadian,Footprints,Robert Rayner,"When three teenage friends oppose the annexation of their favourite beach by a prominent businessman and philanthropist, their efforts to keep it public are ..."
1902,Canadian,For All The Men (and Some of The Women) I've Known,Danila Botha,"For All The Men (and Some of The Women) I've Known explores the complexity of relationships, from love to betrayal. In the book's unforgettable stories, ..."
1903,Canadian,For a Modest Fee,Freda Jackson,"Trained as a nurse and midwife, Elizabeth Evans never wanted to help set up the fledgling town of Aspen Coulee, Alberta, but travels there with her father when ..."
1904,Canadian,Forbidden Purple City,Philip Huynh,"Finalist, City of Vancouver Book Award 2019A man returns to Hoi An in his retirement to compose a poem honouring his parents. Two teenagers, ostracized in a ..."
1905,Canadian,Foreign Affairs,Nick Wilkshire,"When a young Canadian diplomat is charged with a murder abroad, Ottawa lawyer Peter Verdun is convinced there is more to the case than meets the eye. Then the ..."
1906,Canadian,Foreigners,Stephen Finucan,"In this absorbing collection of stories, Stephen Finucan depicts people struggling with the afflictions of life-marital breakdown, the illness of elderly ..."
1907,Canadian,Foresight,Ian Hamilton,1980: A pivotal year in modern Chinese history as Premier Deng Xiaoping begins what he intends to be the transformation of China into an economic superpower. ...
1908,Canadian,Forest Green,Kate Pullinger,"For readers of Elizabeth Strout and Anne Tyler, a powerful, heartrending novel about a man on the run from himself, by Governor General's Award-winning author ..."
1909,Canadian,Forever Pucked,Helena Hunting,"Being engaged to Alex Waters, team captain and the highest paid NHL player in the league, is awesome. How could it not be?In addition to being an amazing ..."
1910,Canadian,Forge of Darkness,Steven Erikson,"Now is the time to tell the story of an ancient realm, a tragic tale that sets the stage for all the tales yet to come and all those already told...It's a ..."
1911,Canadian,Forgotten,Catherine McKenzie,"Emma Tupper is a dedicated lawyer with a bright future. Butwhen she takes a month-long leave of absence to go on an African vacation, sheends up facing ..."
1912,Canadian,For Love of a Dog,Janice Carter,A soldier's best friend? ;Army captain Luca Rossi hasn't forgotten the dog who saved his life in Afghanistan. He just didn't expect to be reunited with him on ...
1913,Canadian,For Sure,France Daigle,"For Sure is among other things a labyrinth, a maze, an exploration of the folly of numbers, a repository, a defense and an illustration of the Chiac language. ..."
1914,Canadian,For the Love of Mary,Christopher Meades,"A hilarious coming-of-age novel about the pain of young love, family secrets, and sick ferretsFifteen-year-old Jacob feels almost on the inside: almost smart, ..."
1915,Canadian,For Those Who Hunt the Wounded Down,David Adams Richards,A suspenseful and moving novel which has at its centre one of Richards' most memorable and haunting characters. It is the fall of 1989 in a small Miramichi ...
1916,Canadian,For Today I Am A Boy,Kim Fu,"The universally acclaimed debut novel from a powerful new voice in literary fiction.At birth, Peter Huang is given the Chinese name juan chaun, meaning ..."
1917,Canadian,Forty Words for Sorrow,Giles Blunt,"When four teenagers go missing in the small northern town of Algonquin Bay, the extensive police investigation comes up empty. Everyone is ready to give up ..."
1918,Canadian,Foul Deeds,Linda Moore,"A professional criminologist, Rosalind works with a cranky Private Investigator named McBrideóa long-time association that has led her from one sordid foray ..."
1919,Canadian,Found Drowned,Laurie Glenn Norris,"Based on a true unsolved crime from 1877, Laurie Glenn Norris's debut novel tells the story of two small towns linked by the disappearance of a teenage girl. ..."
1920,Canadian,Found Far and Wide,Kevin Major,"A novel of remarkable historical breadth, Found Far and Wide follows Sam Kennedy through the tragedy of the Great Newfoundland Sealing Disaster of 1914, the ..."
1921,Canadian,Four Brides,Debbie Macomber,"From wedding plans to revenge plots, and to finding love again""¶Three Brides, No GroomWhen three friends meet again at their fifteen-year class reunion, they ..."
1922,Canadian,Four Corners,Wally Rudolph,"Four Corners is a bare-knuckled debut novel in the style of Daniel Woodrell, Barry Hannah, and Charles Bowden. Both a savage, mean-streets thriller and a ..."
1923,Canadian,Four Days,John Buell,"In Four Days, an orphaned boy watches as his older brother and idol graduates from petty thievery into big-league crime. A bank heist goes awry, leaving loose ..."
1924,Canadian,Four Letter Word,Joshua Knelman,"An inspired collection of new fiction from some of today's most celebrated writers, exploring the charm, potency and seductive powers of a classic genre . . ..."
1925,Canadian,Four-Letter Words,Chad Pelley,"Chad Pelley's Four-Letter Words, his collection of award-winning short stories, presents us with characters haunted by one four-letter word or another: love, ..."
1926,Canadian,Four Seconds to Lose,K.A. Tucker,"When a gorgeous young dancer walks through his door, a strip club owner must decide whether to follow his rules or his heart in the third novel by the author ..."
1927,Canadian,"Fourth Canvas, The",Rana Bose,"Some time in the 1970's A Calcutta teacher and radical, Subhash Ganguli, on the run from Indian authorities, disappears in London. The body of a left-wing ..."
1928,Canadian,Fox,Margaret Sweatman,"Fox moves on quick and elegant feet through the terror and exhilaration of Winnipeg's 1919 General Strike, the most turbulent period of the city's history. In ..."
1929,Canadian,Foxed,Garry Ryan,"After a long series of professional and personal upheavals, Detective Lane begins his latest adventure happy, at peace, and enjoying life with his partner ..."
1930,Canadian,Fractures in Ink,Helena Hunting,"Sometimes the things we shouldn't want become exactly what we need . . .Waitressing at a seedy strip club isn't ideal, but it pays Sarah Adamson's ..."
1931,Canadian,Fragment,Craig Russell,"When avalanching glaciers thrust a massive Antarctic ice sheet into the open ocean, the captain of an atomic submarine must risk his vessel to rescue the ..."
1932,Canadian,Frankenstein,Mary Shelley,"Frankenstein is read today in two slightly different versions: the first edition of 1818, written by a very young Mary Shelley; and the edition of 1831, in ..."
1933,Canadian,Frankenstein Murders,Kathlyn Bradshaw,It is the early 19th century. A young English detective named Edward Freame is assigned a case that could make or break his career. He is to track down a ...
1934,Canadian,Frankenstein - Third Edition,Mary Shelley,D.L. Macdonald and Kathleen Scherf's edition of Frankenstein has been widely acclaimed as an outstanding edition of the novelófor the general reader and ...
1935,Canadian,Free Fall,Rick Mofina,"CRISIS IN THE SKIES ;Pilots with no control? ;High above the Adirondack Mountains, a commuter flight to New York City turns into a rolling, twisting nightmare, ..."
1936,Canadian,Freefall to Desire,Kayla Perrin,"Three years ago Brianne Kenyon suffered the unthinkable: her fiance disappeared while hiking the Rocky Mountains, never to be seen again. Heartbroken beneath ..."
1937,Canadian,Free Form Jazz,Lee Lamothe,Disgraced city cop Ray Tate and outcast state trooper Djuna Brown track down a wealthy sexual sadist and a depressed career criminal flooding a Midwestern U.S. ...
1938,Canadian,Free Like Sunshine,Christina Kilbourne,"All Katrina really wants is a home, a forever home where she can live with her three sisters. She is even willing to give up her Disney-princess dream of ..."
1939,Canadian,Freenet,Steve Stanton,"""A non-stop, furiously paced story.""ù ó Robert Charles Wilson, award-winning authorA nuanced story about artificial intelligence and digital immortality, ..."
1940,Canadian,Free Wind Home,Gary Saunders,"Free Wind Home carries the reader full circle through a childhood rooted in a sleepy Newfoundland outport with nineteenth century traditions, existing in a ..."
1941,Canadian,Free World,David Bezmozgis,2011 Governor General's Literary Awards Finalist - FictionShortlisted for the 2011 Scotiabank Giller PrizeIt is August 1978. Brezhnev sits like a stone in ...
1942,Canadian,French Exit,Patrick deWitt,"Finalist, Scotiabank Giller PrizeFinalist, Oregon Book Awards: Ken Kesey Award for FictionFinalist, Forest of Reading Evergreen AwardLonglist, ..."
1943,Canadian,French Kissing,Nancy Warren,Manhattan magazine editor and fashionista Kimi Renton is one of the beautiful people at couture week every year. But this time she's stuck with a rumpled P.I. ...
1944,Canadian,Friend. Follow. Text.,Shawn Syms,"Tales told through texting. Pinterest prose, LinkedIn lit, irony over Instagram - or Facebook flash fiction. Friend. Follow. Text is a short-fiction anthology ..."
1945,Canadian,Friendly Fire,Lisa Guenther,"SHORTLISTED FOR THE 2016 O'REILLY INSURANCE AND THE CO-OPERATORS FIRST BOOK AWARD AT THE SASKATCHEWAN BOOK AWARDSAs a long, hot Saskatchewan summer dawns, ..."
1946,Canadian,Friend of the Devil,Peter Robinson,"On a cliff edge overlooking the North Sea, a quadriplegic woman in a wheelchair stares unseeingly at the waves. She had been murdered. And, miles away, in a ..."
1947,Canadian,Friends,Janet  Morrison,Six women from profoundly different cultures and belief systems meet weekly at a salon. We watch them rising and falling as they encounter or avoid life's ...
1948,Canadian,Fringe Dwellers,Shane Joseph,91 Words ;Why does Harry pretend that everything is normal when his life is falling apart? Or Professor Ram hunger for his landlady while under an oath of ...
1949,Canadian,Frog Music,Emma Donoghue,"From the #1 international bestselling author of RoomIt is 1876, and San Francisco, the freewheeling ""Paris of the West,""ù is in the fierce grip of a ..."
1950,Canadian,From a Good Home,Trudi Johnson," ;Every family has its secrets.In 1935, Hannah Parsons left her home in Bonavista Bay, Newfoundland, at the age of seventeen to work in service for Charles ..."
1951,Canadian,From Exes to Expecting,Laurel Greer,"This time there's a baby on board""¶Dr. Lauren Dawson knows her brief marriage to footloose photographer Tavish Fitzgerald ended for a reason. That doesn't ..."
1952,Canadian,From Ice to Ashes,Jessica Simon,When a terrorist infiltration overtakes the Yukon Arctic Ultraóthe most challenging human-powered race in the worldóAuxiliary RCMP Markus Fanger leads a ...
1953,Canadian,From Mountains of Ice,Lorina Stephens,"Sylvio spent the past decade banished from Simare's court, stripped of land, ancestral home and title - from Minister of National Security to back-country ..."
1954,Canadian,From Neighbors...to Newlyweds?,Brenda Harlen,"When Georgia Reed moved her twin boys and infant daughter out of the bustling city, she didn't expect to have a doctor on call. But her gorgeous neighbor?and ..."
1955,Canadian,"From Russia, With Love",Ingrid Weaver,"Successful fashion designer Marina Artamova is determined toreunite her small family. Her orphaned nephew has vanishedinto the Russian welfare system, and her ..."
1956,Canadian,From Scratch,Gail Anderson-Dargatz,"Cookie is about to lose her job at the local bakery. She dreams of owning her own bakery but doesn't think she has the skills or money to do it. Most of all, ..."
1957,Canadian,From Temptation to Twins,Barbara Dunlop,"From enemy to lover to""¶father of her children? Only from New York Times bestselling author Barbara Dunlop!Juliet Parker must save her grandfather's ..."
1958,Canadian,From the Archives of Video Populaire,Anne Golden,The four founders of a video production centre that started up in the 1970s share their experiences in this fictional 'oral history.' The founders are joined ...
1959,Canadian,From the Fifteenth District,Mavis Gallant,"Set in Europe in the aftermath of the Second World War, the nine stories in this glittering collection reflect on the foibles and dilemmas of human ..."
1960,Canadian,From This Distance,Karen McLaughlin,"Robyn Gallagher inherits a car from the mother-in-law she believes disapproved of her. In it, she sets out from the town where she buried Muriel, on the banks ..."
1961,Canadian,From Up River and for One Night Only,Brett Josef Grubisic,"Meet The Gorgons The Legionnaires Chicken Treblinka The Statistics . . . Meet Dee, Gordyn, Em, and Jay, indecisive members of the greatest New Wave band to ..."
1962,Canadian,Front Porch Mannequins,Rebekkah Adams,"Nana Underhill's intoxicated plan to run Lily over with her car seemed like a good idea at the time. Having slept with Lily's husband, she needed to ease her ..."
1963,Canadian,Frostbite,Wes Funk,"MIDDLE AGE ISN'T BEING KIND TO DECLAN HALL... His career is in turmoil, his marriage has ended and he's suddenly living in a Saskatoon high-rise with his ..."
1964,Canadian,Frostbitten,Kelley Armstrong,New York Times bestselling author Kelley Armstrong returns with the tenth installment of the Women of the Otherworld series. The Alaskan wilderness is a harsh ...
1965,Canadian,Fruits of the Earth,Frederick Philip Grove,"First published in 1933, Fruits of the Earth has come to be regarded as a landmark in Canadian fiction, an unparalleled depiction of the ordeals endured by the ..."
1966,Canadian,Frying Plantain,Zalika Reid-Benta,"Set in a neighbourhood known as ""Little Jamaica,""ù Frying Plantain follows one young girl from elementary school to high school graduation as she navigates ..."
1967,Canadian,Fugitive Pieces,Anne Michaels,Anne Michaels' spellbinding debut novel has quickly become one of the most beloved and talked-about books of the decade. As a young boy during the Second ...
1968,Canadian,Fugitives,Suzanne Jacob,"Told from multiple points of view, The Fugitives is the labyrinthine story of four generations of women trying to escape the legacy of their families. The ..."
1969,Canadian,Fugue in Green,Brenda Clews,"Brenda Clews's compelling book of poetry, Fugue in Green, is a gothic fairy tale in the tradition of Marie-Claire Blais' Mad Shadows and Mary Shelley's ..."
1970,Canadian,Fugue States,Pasha Malla,"One of The Globe and Mail's Best Books of 2017: ;A perfect mix of entertaining and edgy, Fugue States is a thought-provoking exploration of the ..."
1971,Canadian,Full Contact,Sarah Castille,"""Fifty Shades of Grey meets Fight Club.""-RT Book Reviews on Against the RopesRay wraps his arms around me and holds me tight as if something terrible has ..."
1972,Canadian,Full Curl,Dave Butler,"Winner of the 2018 Arthur Ellis Award for Best First Crime Novel!When her park is threatened, warden Jenny Willson takes it very personally.Jenny Willson is a ..."
1973,Canadian,Full Disclosure,Beverley McLachlin,"From the former Chief Justice of Canada comes a riveting thriller starring Jilly Truitt, a rising, young defense attorney faced with a case that hits close to ..."
1974,Canadian,Funny Boy,Shyam Selvadurai,"In this remarkable debut novel, a boy's bittersweet passage to maturity and sexual awakening is set against escalating political tensions in Sri Lanka, ..."
1975,Canadian,FURIES,D.L. Johnstone,36 AD - The city of Alexandria is a center of Roman commerceóand a sinful playground for the pleasure-seeking rich and powerful. For wealthy merchant Decimus ...
1976,Canadian,Fury of Desire,Coreene Callahan,"No warrior of the Nightfury pack is more complicated or damaged than Wick. ;Scarred from a childhood of slavery and torture, Wick cannot bear the touch of ..."
1977,Canadian,Fury of Ice,Coreene Callahan,"Coming from a race of dragons able to assume human form, Rikar, the last of the frost dragons, never imagined he could be conqueredóuntil a sizzling ..."
1978,Canadian,Fury of Seduction,Coreene Callahan,"Successful landscape designer Tania Solares prides herself on living by her own terms, relying on no man to provide for her. But her carefully controlled life ..."
1979,Canadian,Fury of Surrender,Coreene Callahan,"In the sixth installment of Coreene Callahan's bestselling Dragonfury series, a tormented dragon shifter finds solace in the healing powers of a womanóone ..."
1980,Canadian,Fury of the Wind,Doris Riedweg,"In 1948, post-war Saskatchewan is becoming more tolerant of groups such as European immigrants and First Nations people. But there are still pockets of ..."
1981,Canadian,Gabriel Praed's Castle,Alice Jones,A newly-minted millionaire from the gold fields of British Columbia takes his daughter to Paris for an immersion course in Old-World culture. Gabriel Praed's ...
1982,Canadian,Gabriel's Stand,Jay B. Gaskill,"Gabriel Standing Bear, a senator and popular environmentalist, has led some of the most effective ecological protection work to date. But ongoing climate chaos ..."
1983,Canadian,Gallows Humor,Carolyn Elizabeth,"Corey Curtis is coasting. At thirty-three, she's in the best shape of her life and has a satisfying position at Jackson City Memorial Hospital. With a good ..."
1984,Canadian,Gallows View,Peter Robinson,"""The climax, choreographed to a furious pace, should fill the land with the sound of pages turning."" Toronto StarThe classic first novel in Peter Robinson's ..."
1985,Canadian,Galore,Michael Crummey,"Sprawling and intimate, stark and fantastical, Galore is a novel about the power of stories to shape and sustain us. This is Michael Crummey's most ambitious ..."
1986,Canadian,Gambling With Fire,David Montrose,"""Austrian aristocrat Franz Loebek lands in Canada penniless, having lost everything in the violent upheavals brought by the Second World War. In Montreal he ..."
1987,Canadian,Gamechanger,L. X. Beckett,"Neuromancer meetsStar Trek inGamechanger, a fantastic new book from award-winning author L. X. Beckett.First there was the Setback.Then came the Clawback.Now ..."
1988,Canadian,Game On,Nancy Warren,"Welcome to Last  ;Bachelor Standing!  ;How long can three sexy single men hold out? ;First up? Mr. No Commitment?Detective Adam Shawnigan.  ;As you can see, ..."
1989,Canadian,Games of the Heart,Pamela Yaye,Up-and-coming celeb manager Sage Collins is ready for the big time. About to land her first big clientóa teenager who could be the next Michael JordanóSage ...
1990,Canadian,Garcia's Heart,Liam Durcan,"A searing debut novel told with the dexterity of Graham Greene, the moral complexity of Ian McEwan, and the tension of a thriller.Dazzling new fiction writer ..."
1991,Canadian,"Gardener on the Moon, A",Carole Giangrande,"Overwhelmed by the illness of his wife Marie-Hel√®ne, Pierre LeBlanc retreats into a hasty affair and recalls the breakup of his youthful relationship with ..."
1992,Canadian,Garden in the Wind,Gabrielle Roy,Few writers portray the dignity of people trapped by poverty or emotional isolation as compassionately as Gabrielle Roy does in the four stories of western ...
1993,Canadian,Gardens of the Moon,Steven Erikson,Marking the 10th anniversary of its publication ó a special collectors' hardback edition of this defining work of epic fantasy.Bled dry by interminable ...
1994,Canadian,Gargoyles,Bill Gaston,"Here is the best of Bill Gaston's stories since the publication of his Giller Prize nominated collection, Mount Appetite (2002). In this extraordinary work, ..."
1995,Canadian,Gaslight Arcanum,J. R. Campbell,"His name is Holmes, his business is to know what others do not. From the comforting glow of Baker Street gas-lamps to the gloom of the ocean's depths, Sherlock ..."
1996,Canadian,Gaslight Grimoire,Jeff Campbell,"The fabled tin dispatch box of Dr. John H. Watson opens to reveal eleven all new tales of mystery and dark fantasy. Sherlock Holmes, master of deductive ..."
1997,Canadian,Gay Dwarves of America,Anne Fleming,"The stories in Anne Fleming's new collection are marked by high intelligence, playfulness and a crackling sense of humour. If pressed, Fleming will say that ..."
1998,Canadian,Gaze,Keith Cadieux,"It's called a psychomanteum. A room entirely lined with mirrors. The walls, the floors, the ceiling. Everything. A dark but endlessly reflecting chamber. A ..."
1999,Canadian,Generation A,Douglas Coupland,"""Now you young twerps want a new name for your generation? Probably not, you just want jobs, right? Well, the media do us all such tremendous favors when ..."
2000,Canadian,"Gentle Habit, A",Cherie Dimaline,"The inspiration for the collection comes from American Poet Charles Bukowski who wrote ""In between the punctuating agonies, life is such a gentle habit."" ..."
2001,Canadian,Gentleman Death / Perpetual Motion,Graeme Gibson,"Together in a single volume, two beloved works by the inimitable Graeme Gibson. Gentleman DeathNovelist Robert Fraser comes face-to-face with creativity, his ..."
2002,Canadian,Geography of Pluto,Christopher DiRaddo,"Twenty-eight-year-old Will, a teacher living in Montreal, has spent the last few months recovering from a breakup with his first serious boyfriend, Max. He has ..."
2003,Canadian,Geraldine,David Watmough,"David Watmough's Geraldine celebrates a groundbreaking female scientist, seen in her later years. After a hard-fought successful career as a bio-chemist and ..."
2004,Canadian,German Mills,John Steffler,"Talented, privileged and ambitious, the young William Berczy is disaffected with the strictures of eighteenth-century European society. Quitting Germany to ..."
2005,Canadian,Gertrude Unmanageable,Deborah Schnitzer,"This brilliant, genre-defying novel, like its main character, cannot be aptly described. Gertrude Unmanageable, one hundred and three years old (or ..."
2006,Canadian,Get Out Of My Dreams,CAVERN OF DREAMS PUBLISHING,"Alice and John Timberlake lead a quite life in the suburbs of California. John is a prison officer at the California State Prison, and Alice assists the ""Agony ..."
2007,Canadian,Getting Even,Kayla Perrin,"For the past year, self-proclaimed Black American Princess Claudia has been planning her perfect wedding, destined to be the event in Atlanta's black society. ..."
2008,Canadian,Getting Lucky,Kayla Perrin,"In just four short months, lucky?in?love Annalise is going to become a mother. But before she hits the delivery room, she's got one last piece of business to ..."
2009,Canadian,Getting Some,Kayla Perrin,"Lucky Annelise may be having the best sex of her life with her new man, but she can't help noticing her two closest friends and her sister?fresh from very ..."
2010,Canadian,Ghost Boys,Shenaaz Nanji,"Fifteen-year-old Munna lives with his Ma and sisters in a small town in India. Determined to end his family's misfortunes, he is lured into a dream job in the ..."
2011,Canadian,Ghost Brush,Katherine Govier,"Oei is the daughter of the great Japanese printmaker Hokusai. Long consigned to a minor role as gloomy sidekick, she is barely a footnote in the historical ..."
2012,Canadian,Ghost Detective,Zachary Muswagon,The Compliance Officer for a First Nations Band has been shot in the head and left for dead. Unable to cross over to the great huntings grounds Billy ...
2013,Canadian,Ghosted,Shaughnessy Bishop-Stall,"Mason, a struggling writer, comes in from the cold after five years of drifting. His childhood friend, Chaz, a small-time gangster, loans him an apartment and ..."
2014,Canadian,Ghostly Campfire Stories of Western Canada,Barbara Smith,"Hair-raising tales of ghosts, spirits, and unexplained phenomena set across Western Canada.Praise for Campfire Stories of Western Canada:""Smith's spooky ..."
2015,Canadian,Ghost of the Southern Cross,Nellie P. Strowbridge," ;""Your life story didn't begin with you. It reaches back to the beginning of time. You rose from the bodies of your ancestors. You're the witness to their ..."
2016,Canadian,Ghosts of Nova Scotia 10th Anniversary Edition,Darryll Walsh,"Proclaimed ""Canada's ghost hunter"" by the Ottawa Citizen, parapsychologist Darryll Walsh is a lecturer in parapsychology at the Nova Scotia Community College. ..."
2017,Canadian,Ghost Tracks,Jay Underwood,"Nova Scotia's Celtic heritage makes the province fertile ground for stories of 'ghoulies and ghosties, and long-leggedy beasties, and things that go bump in ..."
2018,Canadian,Ghost Warning,Kara Stanley,"New novel by breakout author, Kara Stanley, navigates Toronto's underbelly of urban grime, crime, and sublime. On the day that Lou James finds her father dead ..."
2019,Canadian,Giant,Aga Maksimowska,"How do you fit in in a new country when you're a ""giant freak,""ù you don't speak the language and bizarre things are happening to your motherland as ..."
2020,Canadian,"Giants, Cannibals & Monsters",Kathy Moskowitz Strain,"Many stories involved fearsome creatures with supernatural powers. One of these creatures, now known as Bigfoot, passed beyond the realm of native lore and has ..."
2021,Canadian,Gifts of the Peramangk,Dean Mayes,"In 1950s Australia, during the height of the divisive White Australia Policy, Virginia, a young Aboriginal girl is taken from her home and put to work on an ..."
2022,Canadian,Gin & Tonic and Cucumber,Rafa√´le Germain,"At thirty-two, Marine Vandale is still waiting for true love. The kind of love that takes your breath away, knocks you on the ground, and makes you scared and ..."
2023,Canadian,Girl at the Edge of Sky,Lilian Nattel,"National BestsellerGirl at the Edge of Sky is a unique, thrilling, sometimes terrifying novel based on the life and death of Lily Litvyak, a female Soviet ..."
2024,Canadian,Girl Crazy,Russell Smith,"Tightly plotted and fast paced, Girl Crazy is a cinematic ride through one man's obsession with a younger woman. Justin, a dissatisfied community college ..."
2025,Canadian,Girlfriend in a Coma,Douglas Coupland,"On a snowy Friday night in 1979, just hours after making love for the first time, Richard's girlfriend, high school senior Karen Ann McNeil, falls into a coma. ..."
2026,Canadian,Girl in Shades,Allison Baggio,"Eleven-year-old Maya Devine has grown up with a warped view of reality. For one, she sees colour around people's bodies and can sometimes hear what's going ..."
2027,Canadian,"Girl in the Wall, The",Alison Preston,"Former Inspector Frank Foote has left the Winnipeg Police force and gone into home renovations, but after tearing down a wall on a job one day and finding the ..."
2028,Canadian,Girl Minus X,Anne Stone,"Fifteen-year-old Dany is trying to survive with her little sister, Mac, in a world collapsing under the weight of a slow, creeping virus that erodes memory. As ..."
2029,Canadian,"Girl on the Escalator, The",Jim Nason,The characters in these eleven stories live in a world upside down. From the young professional who leaves her high-powered job to explore street life as a ...
2030,Canadian,Girl Runner,Carrie Snyder,"An unforgettable novel about competition, ambition, and a woman's struggle to earn a place in a man's world, Girl Runner is the story of 1928 Olympic gold ..."
2031,Canadian,Girls Fall Down,Maggie Helwig,The 2012 One Book Toronto titleShortlisted for the Toronto Book AwardA girl faints in the Toronto subway. Her friends are taken to the hospital with ...
2032,Canadian,"Girls of Piazza d'Amore, The",Connie Guzzo-McParland,A quintessential Calabrian love story.The Girls of Piazza d'Amore traces the lives of three village girls and the forces that lead them to leave home for a new ...
2033,Canadian,Girl Unwrapped,Gabriella Goliger,"Winner, Ottawa Book Award for FictionA powerful tale of the burdens and blessings of history, the divided self, and the quest to be whole,  Girl Unwrapped  is ..."
2034,Canadian,Giving Up,Mike Steeves,"At times funny, at other times sad, and more than often a mixture of the two, Giving Up by Mike Steeves is a deeply felt account of what goes on in the inner ..."
2035,Canadian,Gladdy's Wake,Barbara Anderson,"Gladys Sage escaped the backwoods of Northern Ontario, leaving behind the body of her stepfather. Detective James Kelly is hired to find her, and his search ..."
2036,Canadian,Glass Beads,Dawn Dumont,"These ;short stories interconnect the friendships of four First Nations people ó Everett Kaiswatim, Nellie Gordon, Julie Papequash, and Nathan (Taz) Mosquito ..."
2037,Canadian,Glass Boys,Nicole Lundrigan,"With vivid and unflinching prose, Nicole Lundrigan has created a suspenseful and deeply human saga of the persistence of evil and the astonishing power of ..."
2038,Canadian,Glass Houses,Louise Penny,"An instantNew York Times Bestsellerand August 2017 LibraryReads pick!""Penny's absorbing, intricately plotted 13th Gamache novel proves she only gets ..."
2039,Canadian,Glass Voices,Carol Bruneau,Seventy-one-year-old Lucy Caines' husband suffers a severe stroke that makes Lucy reexamine her complicated relationship with the man she has variously loved ...
2040,Canadian,Glengarry School Days,Ralph Connor,The 15 sketches that make up Glengarry School Days look back affectionately on childhood in Ontario at the time of Confederation. Yet behind Connor's ...
2041,Canadian,"Glittering Chaos, A",Lisa De Nikolits,"The adage about ""what happens in Vegas"" is funny precisely because we know it's wishful thinking. A Glittering Chaos is about what happens when ""what happens ..."
2042,Canadian,Glory,Gillian Wigmore,"In a boom town dominated by a man-eating lake, Renee and Danny Chance start a new life in his grandfather's cabin. Renee struggles to keep her head above ..."
2043,Canadian,Glory over Everything,Kathleen Grissom,"From the author of the New York Times bestseller and beloved book club favorite The Kitchen House, a novel of family and long-buried secrets along the ..."
2044,Canadian,Glycerine,Garry Ryan,"With the traumatic events of Foxed behind him, Detective Lane has been promoted to the head of the Calgary Major Crimes Unit, a position that brings new ..."
2045,Canadian,Godblog,Laurie Channer,"Circumstances force Dag, a young snowboarder, to give up his sport and to find another way to live. He embarks on two paths, the first a subsistence job as a ..."
2046,Canadian,God in Pink,Hasan Namir,"A Globe 100 Best Book of the YearLambda Literary Award winner ;The debut book by Hasan Namir is a revelatory novel about being queer and Muslim, set in war-torn ..."
2047,Canadian,Godless but Loyal to Heaven,Richard Van Camp,In Richard Van Camp's fictionalized north anything can happen and yet each story is rooted in a vivid contemporary reality. The stories offer a potent mix of ...
2048,Canadian,God Loves Hair,Vivek Shraya,"A Quill and Quire and Canadian Children's Book Centre Best Book of the YearA poignant YA story collection that celebrates racial, sexual, and religious ..."
2049,Canadian,God's Autobio,Rolli,".The short stories in God's Autobio, Rolli's debut collection, are impossible, quite probable, and everything in between. There's a story about a man ..."
2050,Canadian,God's Country,Ron Caplan,Cape Breton Island continues to earn its place at the table of Canadian literature. God's Country offers an essential collection of classic stories that ...
2051,Canadian,"Gods, Monsters, and the Lucky Peach",Kelly Robson,"""Brilliantly structured . . . with a delicious tension carefully developed among the wonderful characters."" óTheNew York TimesExperience this far-reaching, ..."
