id,origin,book,details,character_count,word_count
2805,Canadian,Lighthouse Island by Paulette Jiles,"Lighthouse Island by Paulette Jiles: From the Author of the National Book Award Finalist News of the World Paulette Jiles, the ;bestselling author of the highly praised novels The Color of ...",,
2806,Canadian,Light in the Forest by Holly Carr,"Light in the Forest by Holly Carr: In Light in the Forest, Holly Carr uses her dramatic silk paintings to help children confront their fears and find a way through the dark into the light. In ...",,
2807,Canadian,Lightness by Fanie Demeule,"Lightness by Fanie Demeule: Told with startling, unapologetic honesty and in a haunting, minimalist style, Lightness is the story of a woman's profound sense of alienation, beginning with ...",,
2808,Canadian,Lightning by Fred Stenson,"Lightning by Fred Stenson: The award-winning Western epic by ""one of Canada's greatest living writers"" (David Adams Richards) Lightning takes up where Fred Stenson's Giller-nominated and ...",,
2809,Canadian,Light Shining Out of Darkness by Hugh Hood,"Light Shining Out of Darkness by Hugh Hood: Like the paintings of Jan Vermeer and Edward Hopper, Hugh Hood's short fiction looks hard at what some might call the surface of things. Like the finely ...",,
2810,Canadian,Like Any Other Monday by Binnie Brennan,"Like Any Other Monday by Binnie Brennan: After breaking up the family act in 1916, Keatonesque comedic performer Billy Pascoe retreats to Muskoka to consider his prospects as a solo performer. ...",,
2811,Canadian,Like Joyful Tears by David Starr,"Like Joyful Tears by David Starr: In Like Joyful Tears, readers see first-hand the trauma and havoc wreaked by civil war. Victoria Deng of southern Sudan is sixteen when her school is attacked ...",,
2812,Canadian,Like Rum-Drunk Angels by Tyler Enfield,Like Rum-Drunk Angels by Tyler Enfield: Featured in The Globe and Mail's Winter books preview: 36 reads to get you through till springOn 49th Shelf's Most Anticipated: Spring 2020 Fiction Preview ...,,
2813,Canadian,Like This by Leo McKay Jr.,"Like This by Leo McKay Jr.: The A List edition of Leo McKay's superb collection. Shortlisted for the Scotiabank Giller Prize, Like This takes you inside small-town Nova Scotia to expose ...",,
2814,Canadian,Lily by LM DeWalt,"Lily by LM DeWalt: Lily is a tragic and lonely vampire, unwittingly brought into her existence by Ian, a selfish but beautiful maker who has captured her heart for decades, even ...",,
2815,Canadian,Lily in the Snow by Yan Li,"Lily in the Snow by Yan Li: A story of adjustment, acceptance, and belonging emerges from the settings of Red China and contemporary Mapleton, Ontario. Lily, a young immigrant, is trying ...",,
2816,Canadian,Limerence by Jon Tattrie,"Limerence by Jon Tattrie: Can a man have it all?The warmth of a solid family and the challenges of a fruitful career?These questions lie at the heart of Limerence, a fun novel exploring ...",,
2817,Canadian,Liminal by Jordan Tannahill,"Liminal by Jordan Tannahill: At 11:04 a.m. on January 21st, 2017, Jordan opens the door to his mother's bedroom. As his eyes adjust to the half-light, he finds her lying in bed, eyes ...",,
2818,Canadian,Lincoln's Briefs by Michael Wayne,"Lincoln's Briefs by Michael Wayne: Yale Templeton, an undistinguished professor of History at a university in Toronto, has made a shocking discovery: Abraham Lincoln was not, in fact, ...",,
2819,Canadian,Lingering Tide and Other Stories by Latha Viswanathan,"Lingering Tide and Other Stories by Latha Viswanathan: These poignant stories finely depict the lives of immigrants, through the themes of family adjustment, loss, and starting afresh in a new place. Set in ...",,
2820,Canadian,Lion Hunter by John Clarke,"Lion Hunter by John Clarke: Lion Hunter is a historical novel ;that opens ;in Europe in 1941, during World War II, with the introduction of a German secret agent, Hans Farber, ;following a ...",,
2821,Canadian,Lion's Head Revisited by Jeffrey Round,"Lion's Head Revisited by Jeffrey Round: A case brings PI Dan Sharp to the northern Ontario wilderness, where he has to face his own dark past.When a four-year-old autistic boy disappears on a camping ...",,
2822,Canadian,Lipstick Voodoo by Kristi Charish,"Lipstick Voodoo by Kristi Charish: Kincaid Strange, not your average voodoo practitioner, is back in the freshly imagined and hugely entertaining second installment of Kristi Charish's urban ...",,
2823,Canadian,Listen All You Bullets by Sean Johnston,Listen All You Bullets by Sean Johnston: Listen All You Bullets tells the story of a young boy named Billy who is trapped on a hardscrabble North Dakota ranch with his lonely mother and his ...,,
2824,Canadian,"Listen, Honey by Shelley A. Leedahl","Listen, Honey by Shelley A. Leedahl: With grit, humour, and tenderness, in Listen, Honey, this western Canadian writer exposes the emotionally electric lives of men, women, and children. Familial ...",,
2825,Canadian,Literary Lapses by Stephen Leacock,"Literary Lapses by Stephen Leacock: The humour, irony, and wit of Stephen Leacock have never been shown to better advantage than in Literary Lapses, his first collection of comic writings. Within ...",,
2826,Canadian,Literia: A Beauty Hidden Within by Isabelle  Tremblay-Tanguay,"Literia: A Beauty Hidden Within by Isabelle  Tremblay-Tanguay: Before her last year of high school, Rachel spent summer vacation with her family at the lake when someone attempted to kill her, but failed. From that moment ...",,
2827,Canadian,Little Bastards In Springtime by Katja Rudolph,"Little Bastards In Springtime by Katja Rudolph: It's spring 1992. Jevrem Andric is eleven years old, and brutal civil war is erupting in Sarajevo. At first it's just boring, as kids shut in apartments run ...",,
2828,Canadian,Little Beast by Julie Demers,"Little Beast by Julie Demers: A little girl with a beard must find herself a home in this contemporary fairy tale. It's 1944, and a little village in rural Quebec sits quietly beside an ...",,
2829,Canadian,"Little Bird Stories, Volume 1 by Jessica Westhead","Little Bird Stories, Volume 1 by Jessica Westhead: The Little Bird Writing Contest is an international contest exclusively for innovative, emerging short fiction writers. The contest opens each spring when the ...",,
2830,Canadian,Little Bird Stories Volume 10 by Sarah Selecky,Little Bird Stories Volume 10 by Sarah Selecky: Invisible Publishing and Sarah Selecky Writing school have joined forces to produce print editions of the wildly popular Little Bird Stories anthologies. The ...,,
2831,Canadian,"Little Bird Stories, Volume 8 by Michelle Winters","Little Bird Stories, Volume 8 by Michelle Winters: The Little Bird Writing Contest is an international contest exclusively for innovative, emerging short fiction writers. The contest opens each spring when the ...",,
2832,Canadian,"Little Bird Stories, Volume 9 by Cherie Dimaline","Little Bird Stories, Volume 9 by Cherie Dimaline: Invisible Publishing and Sarah Selecky Writing school have joined forces to produce print editions of the wildly popular Little Bird Stories anthologies. The ...",,
2833,Canadian,Little Blue Encyclopedia (for Vivian) by Hazel Jane Plante,Little Blue Encyclopedia (for Vivian) by Hazel Jane Plante: The playful and poignant novel Little Blue Encyclopedia (for Vivian) sifts through a queer trans woman's unrequited love for her straight trans friend who ...,,
2834,Canadian,Little Bones by David Baillie,Little Bones by David Baillie: A nineyearold boy meets with a horrific death at the hands of a sociopath; his little body is then hidden away in a soontobesealed tenement ...,,
2835,Canadian,Little Broken Things by Nicole Baart,"Little Broken Things by Nicole Baart: ""If you liked Big Little Lies, you'll want to crack open [Little Broken Things]."" Southern LivingAn unforgettable and moving novel about an affluent ...",,
2836,Canadian,Little Brother & Homeland by Cory Doctorow,"Little Brother & Homeland by Cory Doctorow: ""A wonderful, important book ... I'd recommend Little Brother over pretty muchany book I've read this year."" ""Neil GaimanLittle BrotherMarcus ...",,
2837,Canadian,Little Cat by Tamara Faith Berger,"Little Cat by Tamara Faith Berger: Two novels, two young women at the frontiers of sex.Like a series of Penthouse letters penned by Kathy Acker, Lie With Me recounts a woman's sexual escapades, ...",,
2838,Canadian,Little Cowgirl on His Doorstep by Donna Alward,"Little Cowgirl on His Doorstep by Donna Alward: Little cowgirl makes threeFor Avery Spencer, the sight of rugged, sullen and dangerously sexy Callum Shepard is enough to set her pulse racing. Too bad she's ...",,
2839,Canadian,Little Eagle with a White Head by Robert Lalonde,"Little Eagle with a White Head by Robert Lalonde: Beautiful, excessive and rich with lyrical flights, Robert Lalonde's eighth novel is the story of Aubert, a poet of the woods on a quest to find his lost ...",,
2840,Canadian,Little Fish by Casey Plett,"Little Fish by Casey Plett: WINNER, Amazon Canada First Novel Award; Lambda Literary Award; Firecracker Award for FictionFinalist, Carol Shields Winnipeg Book AwardA Globe and Mail Best ...",,
2841,Canadian,Little Fortress by Laisha Rosnau,"Little Fortress by Laisha Rosnau: In this captivating and intricate novel Laisha Rosnau introduces us to three women, each of whom is storied enough to have their own novel and who, together, ...",,
2842,Canadian,Little Green by Tish Cohen,Little Green by Tish Cohen: How much pressure can a marriage take?Elise Sorenson has been striving for the Olympics as long as she can remember. The months of intense training and ...,,
2843,Canadian,Little Heaven by Nick Cutter,"Little Heaven by Nick Cutter: A ""gripping and terrifying story""¦and one not to be missed"" (Robert McCammon) from the acclaimed author of The Troop and The Deep!A trio of mismatched ...",,
2844,Canadian,Little One by Phil Organ,Little One by Phil Organ: A moment of compassion in the anthill means that Little One will live  a life of new ideas that will challenge the colony's traditional world. Beautifully ...,,
2845,Canadian,Little Red Warrior and His Lawyer by Kevin Loring,"Little Red Warrior and His Lawyer by Kevin Loring: Little Red Warrior is the last remaining member of the Little Red Warrior First Nation. One day, he discovers a development company has begun construction on ...",,
2846,Canadian,Little Secrets by Jennifer Hillier,"Little Secrets by Jennifer Hillier: ""Unflinching and unforgettable.Little Secrets has everything you want in a thriller"" Riley Sager,New York Times bestselling author ofLock Every Door ...",,
2847,Canadian,Little Sister by Barbara Gowdy,"Little Sister by Barbara Gowdy: The farthest place you can go is closer than you can imagine. Rose is a sensible woman, thirty-four years old. Together with her widowed mother, Fiona, she ...",,
2848,Canadian,Live From the Underground by Corinne Wasilewski,"Live From the Underground by Corinne Wasilewski: Teenagers Darek Dabrowski and Eleanor Hanson come from two different worlds. In Communist Poland, Darek is consumed with the idea of a one-way ticket to ...",,
2849,Canadian,Lives of Short Duration by David Adams Richards,"Lives of Short Duration by David Adams Richards: The Terris are engaging people, but they are a family in collapse. Alcoholism, drugs, and loveless sex have reduced them to a petty and wasted bunch. Worse, ...",,
2850,Canadian,Lives of the Saints by Nino Ricci,"Lives of the Saints by Nino Ricci: When young Vittorio Innocente's mother, Cristina, is bitten by a snake during an encounter with a blue-eyed stranger in the family barn, the superstitions and ...",,
2851,Canadian,Lives: Whole and Otherwise by H. Nigel Thomas,"Lives: Whole and Otherwise by H. Nigel Thomas: These stories of triumph and despair present a gallery of characters, Caribbean immigrants struggling against the odds, as they make their way through the maze ...",,
2852,Canadian,Living Secrets by M.K. Stoddard,"Living Secrets by M.K. Stoddard: Elsie Davis had the life women dream about, a promising career in interior design, married only a month to her longtime boyfriend Alex. Everything was ...",,
2853,Canadian,Living Underground by Ruth Walker,"Living Underground by Ruth Walker: A woman's lover from her youth resurfaces in her adult life, and she is drawn into the turmoil surrounding disturbing accusations about his Nazi past. From pre ...",,
2854,Canadian,Living with the Dead by Kelley Armstrong,"Living with the Dead by Kelley Armstrong: The men and women of the Otherworld "" witches, werewolves, demons, vampires "" live unseen among us. Only now a reckless killer has torn down the wall, ...",,
2855,Canadian,Local Hero by Ron Caplan,"Local Hero by Ron Caplan: This superb collection introduces Carmel Mikol and Hector MacNeil and Sue McKay Miller within a solid blend of noted writers including Carol Bruneau, Clive ...",,
2856,Canadian,Lockstep by Karl Schroeder,"Lockstep by Karl Schroeder: When seventeen-year-old Toby McGonigal finds himself lost in space, separated from his family, he expects his next drift into cold sleep to be his last. After ...",,
2857,Canadian,Loggers' Daughters by Maureen Brownlee,Loggers' Daughters by Maureen Brownlee: It is 1983. On the streets of Vancouver women's libbers are marching. In the forests of the northern interior a tapped out logging contractor is slowly going ...,,
2858,Canadian,London Labour and the London Poor by Henry Mayhew,"London Labour and the London Poor by Henry Mayhew: Produced between 1850 and 1862, London Labour and the London Poor is one of the most significant examples of nineteenth-century oral history. The collection ...",,
2859,Canadian,London Triptych by Jonathan Kemp,"London Triptych by Jonathan Kemp: Rent boys, aristocrats, artists, and criminals populate this sweeping novel in which author Jonathan Kemp skillfully interweaves the lives and loves of three ...",,
2860,Canadian,Lonely Hearts Hotel by Heather O'Neill,Lonely Hearts Hotel by Heather O'Neill: Summer of Canadian Reading 2019NATIONAL BESTSELLERLonglisted for the 2017 Baileys Women's Prize for FictionA Globe and Mail Most Anticipated Book A NOW ...,,
2861,Canadian,Long Change by Don Gillmor,"Long Change by Don Gillmor: Don Gillmor's brilliant new novel, Long Change, examines the world of oil through the life and loves of one man; both stories are epic. ; ; ; ; ;Fleeing his ...",,
2862,Canadian,Long Gone Man by Phyllis Smallman,"Long Gone Man by Phyllis Smallman: Singer Brown's life takes a nosedive after the suspicious death of her lover, Michael, a roadie for a rock band called Vortex. Twenty years later, she is ...",,
2863,Canadian,Long Legs Boy by Benjamin Madison,"Long Legs Boy by Benjamin Madison: Long Legs Boy is the story of an unlikely hero, Modou, a twelve-year-old African boy who is orphaned when his family dies from AIDS. He leaves his remote ...",,
2864,Canadian,"Long March Home, The by ZoÃ« S. Roy","Long March Home, The by ZoÃ« S. Roy: The novel is the story of three generations of women, a grandmother who as a young woman went to China as a Canadian missionary nurse and who falls in love ...",,
2865,Canadian,Long Ride Yellow by Martin West,Long Ride Yellow by Martin West: Long Ride Yellow is the debut novel from two-time Journey Prize Finalist Martin West. The novel explores the limits of sexual desire and willfully prods the ...,,
2866,Canadian,Long Story Short /hc by Elyse Friedman,"Long Story Short /hc by Elyse Friedman: Elyse Friedman's fiction is described as ""part Kafka, part South Park"" (Toronto Star). Here, in her best, most mature, and most nuanced work, she offers a ...",,
2867,Canadian,Long Story Short /tp by Elyse Friedman,"Long Story Short /tp by Elyse Friedman: Elyse Friedman's fiction is described as ""part Kafka, part South Park"" (Toronto Star). Here, in her best, most mature, and most nuanced work, she offers a ...",,
2868,Canadian,"Long White Sickness, The by Cecilia Frey","Long White Sickness, The by Cecilia Frey: On a remote lonely mountain, Constance skis toward her death and Harry Weinstein loses himself in an avalanche. Meanwhile, back in the city, Gully Jillson is ...",,
2869,Canadian,Lonico by Graham F. Angus,Lonico by Graham F. Angus: Lonico is a city ruled by a corrupt over-caste of magi who do anything to maintain their power. They are surrounded by enemies both real and imagined. Many ...,,
2870,Canadian,Look After Her by Hannah Brown,"Look After Her by Hannah Brown: Upon the death of their art-loving parents, thirteen and fourteen year old Jewish sisters are kidnapped by a family friend and taken to a brothel. There they ...",,
2871,Canadian,Look at Me by Rob Shoub,"Look at Me by Rob Shoub: In this dark satire of pop culture, a wealthy yet parentally neglected teenager aches for attention, desperate for meaningful relationships. In his search, he ...",,
2872,Canadian,"Look Down, This is Where It Must Have Happened by Hal Niedzviecki","Look Down, This is Where It Must Have Happened by Hal Niedzviecki: Praise for Hal Niedzviecki's fiction:""Hal Niedzviecki is a remarkable writer.""?Margot Livesey""Niedzviecki is a gifted writer, thoughtful and insightful.""?The ...",,
2873,Canadian,"Looking Back, Moving Forward by Julie C Robinson","Looking Back, Moving Forward by Julie C Robinson: These creative works and brief essays by accomplished immigrant writers offer fresh perspectives, images, and insights that richly enhance our cultural ...",,
2874,Canadian,Looking for Livingstone by M. NourbeSe Philip,"Looking for Livingstone by M. NourbeSe Philip: Now in its 7th printing: A woman, travelling alone through time, Africa, and unnamed lands, searches for Dr. David Livingstone, celebrated by the West as a ...",,
2875,Canadian,Look Who's Morphing by Tom Cho,"Look Who's Morphing by Tom Cho: First published to acclaim in Australia, Look Who's Morphing by Asian-Australian writer Tom Cho is a funny, fantastical, often outlandish collection of stories ...",,
2876,Canadian,Loopholes by Showey Yazdanian,"Loopholes by Showey Yazdanian: I'm five foot four, sour-faced and sweaty; every dress shirt I have ever owned is dotted with Jackson Pollock driblets of perspiration. Next to the seven-foot ...",,
2877,Canadian,Lord John and the Brotherhood of the Blade by Diana Gabaldon,"Lord John and the Brotherhood of the Blade by Diana Gabaldon: From the exquisitely talented and award-winning author of the Outlander Saga come two additions to the oeuvre, both featuring Lord John Grey. This dashing ...",,
2878,Canadian,Lord John and the Hand of Devils by Diana Gabaldon,"Lord John and the Hand of Devils by Diana Gabaldon: A keepsake collection of Lord John Grey's shorter adventures and a spectacular addition to any Gabaldon fan's library, Lord John and the Hand of Devils ...",,
2879,Canadian,Lord John and the Private Matter by Diana Gabaldon,"Lord John and the Private Matter by Diana Gabaldon: Includes a sneak preview of the next Outlander novel, An Echo in the Bone.Adored bestselling author Diana Gabaldon brings us the first book in a new trilogy ...",,
2880,Canadian,Lord Nelson Tavern by Ray Smith,"Lord Nelson Tavern by Ray Smith: Lord Nelson Tavern presents seven dizzying and carnivalesque sequences, through which we glimpse the lives and loves of Ti-Paulo, Norah Noon, Sarah, Grilse, ...",,
2881,Canadian,Lord of Emperors by Guy Gavriel Kay,"Lord of Emperors by Guy Gavriel Kay: Having finally achieved his journey to fabled Sarantium, Crispin the mosaicist wants nothing more than to confront the challenges of his art high on the ...",,
2882,Canadian,Lord of the Two Lands #1 the Hippopotamus Marsh by Pauline Gedge,"Lord of the Two Lands #1 the Hippopotamus Marsh by Pauline Gedge: After a gradual and mostly bloodless invasion, Egypt has fallen into the hands of a foreign power known as the ""Rulers of the Upland."" Using subtle means ...",,
2883,Canadian,Lord of the Two Lands #2 The Oasis by Pauline Gedge,"Lord of the Two Lands #2 The Oasis by Pauline Gedge: Using subtle means of political power and economic control, a foreign power known as the ""Rulers of the Upland"" has taken over Egypt to plunder its riches and ...",,
2884,Canadian,Lord of the Two Lands #3 The Horus Road by Pauline Gedge,"Lord of the Two Lands #3 The Horus Road by Pauline Gedge: The Horus Road is the riveting conclusion of Pauline Gedge's three-volume epic, the Lords of the Two Lands, which chronicles the courageous and often tragic ...",,
2885,Canadian,Lost Animal Club by Kevin A. Couture,"Lost Animal Club by Kevin A. Couture: In his debut story collection, Kevin A. Couture creates a world where the veneer of humanness stretches thin and often cracks as a menagerie of burdened ...",,
2886,Canadian,Lost Aria by Corinne Larochelle,Lost Aria by Corinne Larochelle: Carmelo Militano applies his playful cinematic eye and engaging poetics to create a series of original stories told by eight different narrators each exploring ...,,
2887,Canadian,Lost Between the Edges by Eldon Garnet,"Lost Between the Edges by Eldon Garnet: A novel in which a renegade academic and punk intellectual known only as X acts alone to eliminate an infamous Holocaust denier.""I understand that you regard ...",,
2888,Canadian,Lost Boi by Sassafras Lowrey,Lost Boi by Sassafras Lowrey: A bold and beautiful retelling of the Peter Pan story. Sassafras Lowrey's gorgeously subversive queer punk novel reimagines the classic Peter Pan story. ...,,
2889,Canadian,Lost Boys by Darci Bysouth,"Lost Boys by Darci Bysouth: Each of the (eighteen) stories in Darci Bysouth's debut collection Lost Boys documents a world in the process of unravelling, as the inhabitants of these ...",,
2890,Canadian,Lost Garden by Helen Humphreys,"Lost Garden by Helen Humphreys: In spring 1941, when London is under attack, Gwen Davis escapes the city for Devon, where she will instruct young girls in growing crops for the Home Front. ...",,
2891,Canadian,Lost Girls and Love Hotels by C M Hanrahan,"Lost Girls and Love Hotels by C M Hanrahan: Margaret is doing everything in her power to forget home. And Tokyo's exotic nightlifeteeming with drink, drugs, and three-hour love hotelsenables her ...",,
2892,Canadian,Lost in September by Kathleen Winter,"Lost in September by Kathleen Winter: Long-awaited, thrilling new fiction from Kathleen Winter, whose previous novel ;Annabel ;was a finalist for the Scotiabank Giller, Governor General's Award, ...",,
2893,Canadian,Lost in the Barrens by Farley Mowat,"Lost in the Barrens by Farley Mowat: Awasin, a Cree Indian boy, and Jamie, a Canadian orphan living with his uncle, the trapper Angus Macnair, are enchanted by the magic of the great Arctic ...",,
2894,Canadian,Lost Memory of Skin by Russell Banks,Lost Memory of Skin by Russell Banks: The young man at the centre of Russell Banks's uncompromising and morally complex new novel must create a life for himself in the wake of incarceration. Known ...,,
2895,Canadian,Lost/Whispers and Lies by Joy Fielding,"Lost/Whispers and Lies by Joy Fielding: Two bestselling novels in one volume!  ; ; ; ; ;Jane Whittaker finds herself on a downtown street, her pockets stuffed with a large number of crisp $100 bills, ...",,
2896,Canadian,Lost Youth by Robert Scott,"Lost Youth by Robert Scott: Late at night, the daughter of a prominent Vancouver businessman disappears. At first, no one is aware that she has been abducted until her kidnapper calls to ...",,
2897,Canadian,Love after the End by Joshua Whitehead,"Love after the End by Joshua Whitehead: A bold and breathtaking anthology of queer Indigenous speculative fiction, edited by the author of Jonny Appleseed.This exciting and groundbreaking fiction ...",,
2898,Canadian,Love Alone by Emmanuel Kattan,"Love Alone by Emmanuel Kattan: Judith and Antoine were lovers for a brief time. Then, suddenly, brutally, it ended. Nine years later, they meet again and attempt to revive their old passion. ...",,
2899,Canadian,Love Alters by Emma Donoghue,"Love Alters by Emma Donoghue: Twenty-nine stories from writers both new and established, edited by thebestselling author of Room! ;Love Alters is an excitinganthology featuring both ...",,
2900,Canadian,Love and Fear by Reed Farrel Coleman,"Love and Fear by Reed Farrel Coleman: When the daughter of the most powerful Mafia don in New York goes missing, the don's right-hand man comes to Gulliver Dowd for help. Problem is, the ...",,
2901,Canadian,Love and Other Ruins by Karen X. Tulchinsky,"Love and Other Ruins by Karen X. Tulchinsky: The sequel to Karen X. Tulchinsky's much-praised first novel, Love Ruins Everything, picks up the story four months later as the characters prepare for the ...",,
2902,Canadian,Love and the Mess We're In by Stephen Marche,"Love and the Mess We're In by Stephen Marche: When Viv flies to Buenos Aires for a secret liaison with Clive, there is no ambiguity as to their intentions?adultery. But this is where conventionality ...",,
2903,Canadian,Love and the Single Mom by C.J. Carmichael,"Love and the Single Mom by C.J. Carmichael: She was an ex-wife, ex-lawyer and soon-to-be ex-owner if her restaurant didn't turn around. To top things off,Margo Evans's ex was getting married again. What ...",,
2904,Canadian,Love Bites by Lynsay Sands,"Love Bites by Lynsay Sands: p class=MsoNormal style=""MARGIN: 0in 0in 0pt; LINE-HEIGHT: normal""&gt;""Sands writes books that keep readers coming back for more.""?xml:namespace prefix = o ns ...",,
2905,Canadian,"Love, Dishonor, Marry, Die; Cherish, Perish by David Rakoff","Love, Dishonor, Marry, Die; Cherish, Perish by David Rakoff: From the incomparable David Rakoff, a poignant, beautiful, witty and wise novel in verse whose scope spans the 20th Century.David Rakoff, who died in 2012 at ...",,
2906,Canadian,Love Enough by Dionne Brand,"Love Enough by Dionne Brand: From our acclaimed poet and novelist: a gem of a novel that sizzles about lovebetween lovers, between friends, and for the places we live inand pays ...",,
2907,Canadian,Love is Blind by Lynsay Sands,"Love is Blind by Lynsay Sands: ""Lynsay Sands spins a funny, laughable tale.""Eloisa James on Taming the Highland BrideAdrian Montfort, Earl of Mowbray, had been warned that Lady ...",,
2908,Canadian,Love Is Patient and A Heart's Refuge by Carolyne Aarsen,Love Is Patient and A Heart's Refuge by Carolyne Aarsen: Carolyne Aarsen returns with heartfelt tales of faith.Love Is PatientLisa Sterling will do anything to prove her stepbrother's innocenceeven take an ...,,
2909,Canadian,Love Letters of the Angels of Death by Jennifer Quist,"Love Letters of the Angels of Death by Jennifer Quist: A breathtaking literary debut, Love Letters of the Angels of Death begins as a young couple discover the remains of his mother in her mobile home. The rest of ...",,
2910,Canadian,"Love, Lies & Videotape by Kayla Perrin","Love, Lies & Videotape by Kayla Perrin: Jasmine St. Clair always dreamed of starring in movies. She just wasn't expecting her most famous role to be in the intimate home video that her sleazy ...",,
2911,Canadian,"Love Monster, The by Missy Marston","Love Monster, The by Missy Marston: The Love Monster is the tall tale of one woman's struggle with mid-life issues. The main character, Margaret H. Atwood, has psoriasis, a boring job and a bad ...",,
2912,Canadian,Love on the Killing Floor by Trevor Clark,"Love on the Killing Floor by Trevor Clark: Often controversial, sometimes sexual, and not without black humour, Love on the Killing Floor opens in Toronto in 1992 with Gilchrist, a down-and-out portrait ...",,
2913,Canadian,Love on the Rocks by Pamela Yaye,"Love on the Rocks by Pamela Yaye: After a dramatic weight loss catapults her to the cover of People magazine, Tangela Howard becomes an overnight celebrity. But the transformed flight attendant ...",,
2914,Canadian,Lovers Fall Back to the Earth by Cecelia Frey,"Lovers Fall Back to the Earth by Cecelia Frey: Lovers Fall Back to Earth is a human drama about three sisters, the men they marry, and the repercussions in their lives when disaster strikes. The sisters ...",,
2915,Canadian,Love Ruins Everything by Karen X. Tulchinsky,"Love Ruins Everything by Karen X. Tulchinsky: Award-winning writer Karen X Tulchinsky's debut novel, Love Ruins Everything (originally published in 1998 by Press Gang), follows the adventures Nomi ...",,
2916,Canadian,Lovesongs of Emmanuel Taggart by Syr Ruus,"Lovesongs of Emmanuel Taggart by Syr Ruus: Things no longer look the same for 45-year-old Emmanuel (""M"") Taggart. Thinking he has a bad case of the flu, M leaves the office to embark on a road of ...",,
2917,Canadian,Love Struck by Chantel Guertin,"Love Struck by Chantel Guertin: When 27-year-old image consultant Poppy Ross discovers that her handsome and seemingly devoted husband Parker is having an affair, she is dumbfounded. But ...",,
2918,Canadian,Love T.K.O. by Pamela Yaye,"Love T.K.O. by Pamela Yaye: Stunning Yasmin Ohaji is every man's fantasy, but the popular marriage counselor is too busy to bother with romance. Still, Rashawn Bishop isn't giving up. The ...",,
2919,Canadian,Love You to Death by Gail Bowen,Love You to Death by Gail Bowen: Charlie D is the host of a successful late-night radio call-in show. His listeners have a particularly intimate relationship with him and often reveal much ...,,
2920,Canadian,Low by Anna Quon,"Low by Anna Quon: Low is a novel about family, identity, illness, love and loss.Lyrical, personal prose draws readers into the world of Adriana Song.We feel our way through Low ...",,
2921,Canadian,Lucha de intereses by Barbara Dunlop,"Lucha de intereses by Barbara Dunlop: HabÃ­a intentado mantener las distancias con el?Cara Cranshaw, especialista en relaciones pÃºblicas de la Casa Blanca, habÃ­a pensado en mÃ¡s de una ocasiÃ³n ...",,
2922,Canadian,Lucky by Kathryn Para,"Lucky by Kathryn Para: Lucky, by Kathryn Para, is an unflinching novel set in the Middle East and Canada. It tells the story of Anika Lund, an ambitious Canadian freelance war ...",,
2923,Canadian,Lucky Strike by Pat Wilson,"Lucky Strike by Pat Wilson: Lucky Strike is a light-hearted laugh-out-loud mystery with a cast of characters who epitomize life Down East. Eric Spratt, a conservative accountant from ...",,
2924,Canadian,Lucy Cloud by Anne Levesque,"Lucy Cloud by Anne Levesque: In 1960s Inverness, Cape Breton, the coal mines have closed and family farms stand abandoned as men and families must find other ways to survive. Curly ...",,
2925,Canadian,Luke Baldwin's Vow by Morley Callaghan,"Luke Baldwin's Vow by Morley Callaghan: A story of a boy and his dog and their adventures, which will appeal to the many children who are dog lovers. It is also a sensitive story of love and loss, ...",,
2926,Canadian,Lullabies for Little Criminals by Heather O'Neill,"Lullabies for Little Criminals by Heather O'Neill: A new deluxe edition of the international bestseller by Heather O'Neill, the Giller-shortlisted author of Daydreams of Angels and The Girl Who Was Saturday ...",,
2927,Canadian,Luminous Chaos by Jean-Christophe Valtat,"Luminous Chaos by Jean-Christophe Valtat: Book two in The Mysteries of New Venice, the steampunk adventure series The Guardian called a ""magnificent achievement"" It's 1907 in the icily beautiful New ...",,
2928,Canadian,Lunar Attractions by Clark Blaise,"Lunar Attractions by Clark Blaise: First published in 1979, Clark Blaise's Lunar Attractions is the story of a whimsical young boy from the Florida backwoods, whose introduction to sexuality - ...",,
2929,Canadian,Lust by Charlotte Featherstone,"Lust by Charlotte Featherstone: Of old, humans and Faeries have dwelt side by side in parallel realms. Only the canniest mortals recognize the alluring creaturesthat often walk?and lie?among ...",,
2930,Canadian,Lying with Wolves and Seducing the Hunter by Cynthia Cooke,"Lying with Wolves and Seducing the Hunter by Cynthia Cooke: Two passionate stories of magic and demons ;LYING WITH WOLVES ;After a betrayal, Celia Lawson, the last of a magical bloodline, is building a new life for ...",,
2931,Canadian,Macdonald by Roy MacSkimming,"Macdonald by Roy MacSkimming: In the grand literary tradition of Gore Vidal's novels about American political history, Roy MacSkimming has conjured an extraordinary novelistic recreation ...",,
2932,Canadian,Machiavelli's Desert by Lawrence Uhlin,"Machiavelli's Desert by Lawrence Uhlin: Canada's natural resources - water, oil, mining and forestry are in jeopardy of almost certain takeover by foreign interests, and the very sovereignty of the ...",,
2933,Canadian,Machine Without Horses by Helen Humphreys,"Machine Without Horses by Helen Humphreys: ""One of the bestand most wonderfully experimentalhistorical fiction titles of the year. . . . Truly spectacular."" Toronto StarWhat is an ordinary ...",,
2934,Canadian,Macho Sluts by Patrick Califia,"Macho Sluts by Patrick Califia: When it was first published in 1988, Pat Califia's Macho Sluts, a collection of S/M stories set in San Francisco's dyke bathhouses, sex parties, and S/M gay ...",,
